tissues,Term_unique,n,,
heart-juvenile,cytoskeleton organization,6,,
heart-juvenile,DNA-templated transcription,5,,
heart-juvenile,cellular modified amino acid metabolic process,5,,
heart-juvenile,nervous system process,5,,
heart-juvenile,sulfur compound metabolic process,5,,
heart-juvenile,cellular amino acid metabolic process,4,,
heart-juvenile,immune system process,4,,
heart-juvenile,programmed cell death,4,,
heart-juvenile,protein-containing complex assembly,4,,
heart-juvenile,vesicle-mediated transport,4,,
heart-juvenile,defense response to other organism,3,,
heart-juvenile,mRNA metabolic process,3,,
heart-juvenile,muscle system process,3,,
heart-juvenile,nucleobase-containing small molecule metabolic process,3,,
heart-juvenile,regulation of DNA-templated transcription,3,,
heart-juvenile,wound healing,3,,
heart-juvenile,digestive system process,2,,
heart-juvenile,membrane organization,2,,
heart-juvenile,carbohydrate metabolic process,1,,
heart-juvenile,chromatin organization,1,,
heart-juvenile,cilium organization,1,,
heart-juvenile,cytokinesis,1,,
heart-juvenile,cytoplasmic translation,1,,
heart-juvenile,establishment or maintenance of cell polarity,1,,
heart-juvenile,gene silencing by RNA,1,,
heart-juvenile,inflammatory response,1,,
heart-juvenile,microtubule-based movement,1,,
heart-juvenile,mitotic cell cycle,1,,
heart-juvenile,nucleocytoplasmic transport,1,,
heart-juvenile,protein catabolic process,1,,
heart-juvenile,renal system process,1,,
heart-juvenile,reproductive process,1,,
heart-juvenile,tRNA metabolic process,1,,
gonad-juvenile,anatomical structure development,8,,
gonad-juvenile,carbohydrate derivative metabolic process,6,,
gonad-juvenile,signaling,5,,
gonad-juvenile,DNA-templated transcription,4,,
gonad-juvenile,cell differentiation,4,,
gonad-juvenile,cell motility,3,,
gonad-juvenile,regulation of DNA-templated transcription,3,,
gonad-juvenile,carbohydrate metabolic process,2,,
gonad-juvenile,cell adhesion,2,,
gonad-juvenile,defense response to other organism,2,,
gonad-juvenile,extracellular matrix organization,2,,
gonad-juvenile,immune system process,2,,
gonad-juvenile,lipid metabolic process,2,,
gonad-juvenile,programmed cell death,2,,
gonad-juvenile,protein glycosylation,2,,
gonad-juvenile,sulfur compound metabolic process,2,,
gonad-juvenile,DNA recombination,1,,
gonad-juvenile,DNA repair,1,,
gonad-juvenile,cellular amino acid metabolic process,1,,
gonad-juvenile,chromosome segregation,1,,
gonad-juvenile,circulatory system process,1,,
gonad-juvenile,cytoskeleton organization,1,,
gonad-juvenile,detoxification,1,,
gonad-juvenile,digestive system process,1,,
gonad-juvenile,intracellular protein transport,1,,
gonad-juvenile,meiotic nuclear division,1,,
gonad-juvenile,membrane organization,1,,
gonad-juvenile,mitotic cell cycle,1,,
gonad-juvenile,mitotic nuclear division,1,,
gonad-juvenile,protein catabolic process,1,,
gonad-juvenile,protein folding,1,,
gonad-juvenile,renal system process,1,,
gonad-juvenile,reproductive process,1,,
gonad-juvenile,transmembrane transport,1,,
gonad-juvenile,vesicle-mediated transport,1,,
ctenidia-larvae,signaling,4,,
ctenidia-larvae,DNA-templated transcription,2,,
ctenidia-larvae,anatomical structure development,2,,
ctenidia-larvae,carbohydrate derivative metabolic process,2,,
ctenidia-larvae,defense response to other organism,2,,
ctenidia-larvae,lipid metabolic process,2,,
ctenidia-larvae,nervous system process,2,,
ctenidia-larvae,programmed cell death,2,,
ctenidia-larvae,regulation of DNA-templated transcription,2,,
ctenidia-larvae,autophagy,1,,
ctenidia-larvae,cell adhesion,1,,
ctenidia-larvae,cell junction organization,1,,
ctenidia-larvae,circulatory system process,1,,
ctenidia-larvae,cytoskeleton organization,1,,
ctenidia-larvae,extracellular matrix organization,1,,
ctenidia-larvae,mRNA metabolic process,1,,
ctenidia-larvae,muscle system process,1,,
ctenidia-larvae,nucleobase-containing small molecule metabolic process,1,,
ctenidia-larvae,protein catabolic process,1,,
ctenidia-larvae,transmembrane transport,1,,
heart-larvae,DNA-templated transcription,2,,
heart-larvae,regulation of DNA-templated transcription,2,,
heart-larvae,signaling,2,,
heart-larvae,transmembrane transport,2,,
heart-larvae,anatomical structure development,1,,
heart-larvae,circulatory system process,1,,
heart-larvae,digestive system process,1,,
heart-larvae,membrane organization,1,,
heart-larvae,mitochondrion organization,1,,
heart-larvae,programmed cell death,1,,
heart-larvae,protein-containing complex assembly,1,,
heart-larvae,renal system process,1,,
heart-larvae,reproductive process,1,,
gonad-larvae,anatomical structure development,2,,
gonad-larvae,carbohydrate derivative metabolic process,1,,
gonad-larvae,mitotic cell cycle,1,,
gonad-larvae,signaling,1,,
