"","comb_size(m1)"
"11111",11294
"11110",24
"11101",692
"11011",397
"10111",2147
"01111",337
"11100",54
"11010",13
"11001",122
"10110",51
"10101",658
"10011",1007
"01110",8
"01101",100
"01011",258
"00111",886
"11000",43
"10100",124
"10010",60
"10001",545
"01100",20
"01010",46
"01001",155
"00110",79
"00101",665
"00011",1974
"10000",371
"01000",119
"00100",340
"00010",868
"00001",2180
"00000",9310
